company,website,email,phone,industry,country,source,date_scraped,status,notes
"1,200,000+","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"150,000+","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"175,000+","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Featured Listing","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Magazine Advertisement","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Banner Advertising","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Content Marketing","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Email Marketing","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Newsletter Advertising","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Business Matchmaking","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Facebook Marketing","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Our Packages","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Buy/Sell Leads","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Our Stats","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Subscribe Newsletter","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Send Enquiry","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Join Now","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Registration","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Why Register?","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"false","","info@afrobiz.ca","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"List my black owned business","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"Close (Esc)","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"Share","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"Toggle fullscreen","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"Zoom in/out","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"Previous (arrow left)","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"Next (arrow right)","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"ABIDJAN","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"ABUJA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"ACCRA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"ADDIS ABABA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"BAMAKO","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"BENIN CITY","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"BRAZZAVILLE","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"CAPE TOWN","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"CONAKRY","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"DAKAR","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"DAR ES SALAAM","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"DOUALA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"DURBAN","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"FREETOWN","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"GABORONE","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"HARARE","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"HUAMBO","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"IBADAN","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"JOHANNESBURG","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"JUBA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KADUNA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KAMPALA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KANANGA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KANO","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KHARTOUM","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KINSHASA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KRIBI","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"KUMASI","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"LAGOS","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"LUANDA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"LUBUMBASHI","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"LUSAKA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"MAPUTO","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"MBUJI-MAYI","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"MOMBASA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"MONROVIA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"NAIROBI","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"NAKURU","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"NDJAMENA","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"NIAMEY","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"OUAGADOUGOU","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
"PORT ELIZABETH","","","","","Pan-Africa","https://www.afrobiz.africa/","2026-02-15","new",""
